Fe
3
15
15
129
405
405
405
405
405
405
405
54594
360
328
328
328
328
329
275
269
269
337
337
337
337
337
337
337
337
337
337
337
337
337
337
277
403
269
275
275
275
397
394
711
86
506
3
3
550
7
3
35
35
711
86
3
3
596
553
592
546
3
1010
15
197
129
405
405
405
405
405
405
405
7
15
554
3
711
30
30
1024
86
3
3
711
7
3
35
35
257
550
542
3
3
86
711
3
15
7
129
405
405
405
405
405
405
405
596
550
592
552
197
551
711
86
3
3
35
35
15
711
30
30
1024
197
3
3
86
550
415224
3
3
15
129
405
405
405
405
405
405
405
7
711
592
596
549
551
86
439
3
550
7
711
3
35
35
3
3
86
711
3
15
2486
2486
14
11
22
702
129
354
405
405
405
405
405
405
405
550
15
351
351
30
30
1024
711
86
3
3
596
550
551
592
7
3
35
35
335
550
711
987549
542
3
3
86
3
15
7
129
405
405
405
405
405
405
405
454
457
457
711
275
550
3
86
711
2470
2470
14
22
702
3
35
35
15
548
548
592
596
30
30
1024
257
549
3
3
15
15
711
3
76
13
2375
657
22
702
702
3
86
3
15
15
702
129
405
405
405
405
405
405
405
702
30264
2470
2470
14
11
22
702
711
702
566
3
86
550
7
3
35
35
711
549
592
596
548
3
3
3
13375
15
86
129
405
405
405
405
405
348
405
405
7
549
15
711
30
30
1024
3
3
15
86
711
7
3
35
35
305
550
542
3
3
711
3
15
86
7
129
405
405
405
405
405
405
405
596
548
548
592
197
551
711
3
86
3
35
35
15
711
30
30
1024
197
550
3
3
15
45
15
15
60
60
15
60
60
60
60
60
60
60
60
60
60
3
3
15
15
86
129
405
405
405
405
405
405
405
7
711
596
551
592
549
439
3
551
86
7
711
3
35
35
3
3
711
3
15
129
405
405
405
405
405
86
405
405
354
550
15
30
30
1024
711
3
3
15
547
552
592
596
86
7
3
35
35
395
551
711
542
3
3
3
15
7
129
405
405
405
405
405
405
405
86
711
275
550
3
711
86
3
35
35
15
551
549
592
596
30
30
1024
215
551
3
3
15
3
15
711
76
2375
13
658
22
702
702
3
3
15
204008
702117
857525
204008
2165260
15
129
405
405
405
405
405
405
405
86
50799844
30264
711
566
3
550
7
86
3
35
35
711
551
552
592
596
3
3
3
15
129
405
405
405
405
405
405
405
197
7
86
551
15
711
30
30
1024
3
3
15
711
7
86
3
35
35
257
550
542
3
3
711
3
15
7
129
405
405
405
405
405
405
405
552
596
592
547
86
197
551
711
3
86
3
35
35
15
711
30
30
1024
281
550
3
3
3
3
15
15
129
405
405
405
405
405
405
405
7
86
711
551
592
553
596
439
3
550
7
711
3
35
35
86
3
3
711
3
15
129
405
405
405
405
405
405
405
354
550
15
86
30
30
1024
711
45
15
15
15
15
60
60
60
60
60
60
60
60
60
60
60
60
3
3
15
596
551
549
7
23806
3
35
35
86
335
551
711
542
3
3
3
15
7
129
405
405
405
405
405
405
405
711
86
359
550
3
711
3
35
35
15
86
549
596
551
30
30
1024
342
3
3
551
3
711
15
15
2375
3
3
15
15
129
405
405
405
405
405
405
405
30264
86
711
3
342
3
550
7
3
35
35
86
711
3
3
550
596
548
3
15
129
405
405
405
405
405
405
405
13
7
551
15
711
86
30
30
1024
3
3
15
711
7
3
35
35
13
86
550
542
3
3
711
3
15
7
129
405
405
405
405
405
405
405
108776
551
596
552
86
13
551
711
3
3
35
35
15
86
711
30
30
1024
456
13
3
3
550
3
3
15
15
129
405
405
405
405
405
405
405
7
711
86
38
596
552
547
3
13
550
7
711
3
35
35
86
3
3
711
3
15
129
405
405
405
405
405
405
405
13
550
15
86
30
30
1024
711
3
15
15
60
60
60
60
3
15
596
547
553
7
3
35
35
13
551
711
86
542
3
3
3
15
7
129
405
405
405
405
405
405
405
711
86
13
550
3
711
3
35
35
15
549
596
550
86
30
30
1024
13
3
3
551
15
15
711
3
2375
3
3
15
15
129
405
405
405
405
405
405
405
2276649
15
30264
861
2005
86
5213122
26
104938
711
229401
112883
23827
23408
4184120
2160062
13545994
23777881
3
45
15
15
60
60
60
60
60
60
60
60
13
550
7
3
35
35
6048
15
711
1123165
86
3
3
551
596
552
3
15
129
405
405
405
405
405
405
405
7
416
551
15
711
86
30
30
1024
3
3
2
15
711
7
3
35
35
395
550
86
542
3
3
711
3
15
7
